F S   UID   PID  PPID  C PRI  NI ADDR SZ WCHAN  TTY          TIME CMD
4 S     0     1     0  0  69   0 -   120 select ?        00:00:03 init
1 S     0     2     1  0  69   0 -     0 contex ?        00:00:00 keventd
1 S     0     3     1  0  79  19 -     0 ksofti ?        00:00:00 ksoftirqd_CPU0
1 S     0     4     1  0  69   0 -     0 kswapd ?        00:00:00 kswapd
1 S     0     5     1  0  69   0 -     0 bdflus ?        00:00:00 bdflush
1 S     0     6     1  0  69   0 -     0 kupdat ?        00:00:00 kupdated
1 S     0    10     1  0  59 -20 -     0 tcp_se ?        00:00:00 mdrecoveryd
1 S     0    11     1  0  69   0 -     0 kjourn ?        00:00:00 kjournald
1 S     0    59     1  0  69   0 -   351 select ?        00:00:00 syslogd
5 S     0    62     1  0  69   0 -   336 syslog ?        00:00:00 klogd
1 S     0   167     1  0  69   0 -   343 nanosl ?        00:00:00 dhcpcd
1 S     0  1545     1  0  69   0 -     0 ?      ?        00:00:00 khubd
5 S     0  1568     1  0  69   0 -   344 select ?        00:00:00 inetd
1 S     0  1575     1  0  68   0 -   364 nanosl ?        00:00:00 crond
5 S     0  1578     1  0  69   0 -  1225 select ?        00:00:00 sendmail
1 S    25  1581     1  0  69   0 -  1197 pause  ?        00:00:00 sendmail
4 S  1000  1585     1  0  60   0 -   662 read_c tty1     00:00:00 bash
4 S  1000  1586     1  0  71   0 -   666 wait4  tty2     00:00:00 bash
0 S     0  1588     1  0  69   0 -   334 read_c tty4     00:00:00 agetty
4 S     0  1589     1  0  69   0 -   657 read_c tty5     00:00:00 bash
4 S     0  1590     1  0  69   0 -   334 read_c tty6     00:00:00 agetty
4 S     0  1681     1  0  69   0 -   334 read_c tty3     00:00:00 agetty
0 R  1000  1826  1586  0  71   0 -   776 -      tty2     00:00:00 ps
